iter	Logloss
0	0.6811742976
1	0.6675216716
2	0.6516781754
3	0.6373652933
4	0.6249683644
5	0.6124875878
6	0.603448309
77	0.600789133688	0.593028604899	0.5865937647110	0.5799749653
11	0.575514853
12	0.569420909
13	0.564475499
14	0.5601386036
15	0.5566113131
16	0.5529573829
17	0.5498438689
18	0.5470577806
19	0.5440584664
20	0.5413891731
21	0.5397526645
22	0.5357816894
23	0.5296571329
24	0.5279388607
25	0.5246910948
26	0.5230057086
27	0.5212637405
28	0.5189141675
29	0.5163630073
30	0.5146772043
31	0.5128375848
32	0.5102406092
33	0.5091843522
34	0.5072844607335	0.5059086563336	0.5044638895337	0.5034384963838	0.5016983143939	0.5004751794040	0.4988904934141	0.498022834
42	0.4975015777
43	0.4959347204
44	0.4943287731
45	0.4931331484
46	0.4908282929
47	0.4885876933
48	0.4875957248
49	0.4870921155
50	0.4861288116
51	0.4852957242
52	0.4847195624
53	0.4837423467
54	0.4828405063
55	0.4819279927
56	0.4809606291
57	0.4800092149
58	0.4792693485
59	0.478546796
60	0.4777999909
61	0.477036586
62	0.4764363249
63	0.4757784218
64	0.475053097
65	0.4743164858
66	0.4734685452
67	0.4726867138
68	0.4720588147
69	0.4712522589
70	0.4703040801
71	0.4695883062
72	0.4682877139
73	0.467913091
74	0.4674252018
75	0.4665885684
76	0.466215031
77	0.4654567835
78	0.4644163637
79	0.4637923955
80	0.4633646204
81	0.4626281715
82	0.4621809166
83	0.4613939548
84	0.4609569737
85	0.4600850913
86	0.4592700329
87	0.4588951512
88	0.4579878501
89	0.4572709916
90	0.4569703411
91	0.4563660245
92	0.4558320151
93	0.4549950307
94	0.4548207927
95	0.4542451005
96	0.4530508959
97	0.4523754172
98	0.4510892146
99	0.4506125224
100	0.4498240983
101	0.4489673583
102	0.4483077666
103	0.4477040852
104	0.4470934334
105	0.4462952507
106	0.4454700744
107	0.4450292991
108	0.4445061547
109	0.444041573
110	0.4425455039
111	0.4418068179
112	0.4409991217
113	0.4403200644
114	0.4385089677
115	0.4379384722
116	0.4374728345
117	0.4368026064
118	0.4364064374
119	0.4356795564
120	0.4354420468
121	0.4345931146
122	0.4341452027
123	0.4335904261
124	0.4328502846
125	0.4321618421
126	0.4315309807
127	0.4310511722
128	0.4301417536
129	0.429231788
130	0.4285152631
131	0.4275355373
132	0.4271740418
133	0.4267115937
134	0.4263105925
135	0.4254945258
136	0.4252579669
137	0.4247134138
138	0.4240919013
139	0.423347923
140	0.4229991159
141	0.4221319863
142	0.4216245084
143	0.4208360444
144	0.4203604813
145	0.4196194004
146	0.4189720858
147	0.418273837
148	0.4174847923
149	0.4170279146
150	0.4164813975
151	0.4157500132
152	0.4152909799
153	0.4144561871
154	0.4138397433
155	0.4119544101
156	0.4110583363
157	0.4108343528
158	0.4104532446
159	0.4096038543
160	0.40901016
161	0.4086139486
162	0.406980339
163	0.4062555338
164	0.4054355114
165	0.4048846384
166	0.4040489027
167	0.403607237
168	0.4031783822
169	0.4026066633
170	0.4019767441
171	0.4012937226
172	0.4006560547
173	0.4000222257
174	0.3994911607
175	0.3985456819
176	0.3976609355
177	0.3970428861
178	0.396708135
179	0.3963369097
180	0.3956531139
181	0.3952829378
182	0.3947849461
183	0.3940507677
184	0.3932721466
185	0.3928170064
186	0.3922182075
187	0.3917269427
188	0.390955562
189	0.38995677
190	0.3889681352
191	0.3876667549
192	0.3863889294
193	0.3857139109
194	0.3851428631
195	0.3844633423
196	0.3834410211
197	0.3826265883
198	0.3819160339
199	0.3813885468
200	0.3809217578
201	0.379796144
202	0.379233053
203	0.3786672372
204	0.3776095846
205	0.3770107324
206	0.3763095626
207	0.3758082598
208	0.3751205888
209	0.3744107468
210	0.3738460234
211	0.3732480571
212	0.3726797329
213	0.3722374214
214	0.3715531409
215	0.3709947191
216	0.3700012189
217	0.3694641512
218	0.3690152196
219	0.3683414918
220	0.367484603
221	0.3669270432
222	0.3661219266
223	0.3653700749
224	0.3643051841
225	0.3636043901
226	0.3630123381
227	0.3624314568
228	0.3618542092
229	0.3610552707
230	0.3603631196
231	0.3594357617
232	0.3588453823
233	0.3581388634
234	0.3574194003
235	0.3566760886
236	0.3560959376
237	0.3556011183
238	0.3548115279
239	0.3542177213
240	0.3533426782
241	0.3524897551
242	0.3515961198
243	0.3505370927
244	0.3498884244
245	0.3494336439
246	0.3489186446
247	0.3484189948
248	0.3478268014
249	0.3469174293
250	0.3459053234
251	0.3451444548
252	0.3445173431
253	0.3438948023
254	0.3432803759
255	0.3426993963
256	0.3412969456
257	0.3405280224
258	0.3398919963
259	0.3390854516
260	0.3383974484
261	0.3377877714
262	0.3372391018
263	0.3364878324
264	0.3358825563
265	0.3352767683
266	0.3347358417
267	0.3340821474
268	0.3334367453
269	0.3322797086
270	0.3317017526
271	0.3306433568
272	0.3301507065
273	0.3295649699
274	0.3286662816
275	0.3280444198
276	0.3275467209
277	0.3270535779
278	0.3262898147
279	0.3256807523
280	0.3251564461
281	0.3247563615
282	0.3240988769
283	0.3234016996
284	0.3228498378
285	0.3222798493
286	0.3217253454
287	0.321072944
288	0.3207857986
289	0.3205086093
290	0.3198973636
291	0.3193211996
292	0.318784141
293	0.3180293231
294	0.3173923968
295	0.3166887827
296	0.3161444381
297	0.3156532071
298	0.3149701393
299	0.3144502532
