Feature,RF_Importance,XGB_Importance,CAT_Importance,Avg_Importance
unique_proposals_last_7_days,0.12591894574737938,0.17476097,19.699987448212436,6.666889120484291
unique_quotations_last_7_days,0.050131668446460734,0.1341133,10.484626489687285,3.5562904850000545
unique_proposals_last_15_days,0.0332516477986381,0.042336788,9.120330293777705,3.0653062432016074
unique_customers_last_7_days,0.028922919564683423,0.023629649,8.328463283961062,2.793671950712232
agent_join_month_dayofweek,0.01912811011345204,0.0037177273,6.4151442493222826,2.1459966955654664
first_policy_sold_month_month_sin,0.0159986854211567,0.001268496,4.6987913498645195,1.5720195104413561
unique_quotations_last_15_days,0.04200082046869628,0.051980443,4.553105565374441,1.549028943047318
year_month_month_cos,0.02068098572112872,0.012530929,4.3406063477557675,1.4579394209619545
year_month_dayofweek,0.03757024509594978,0.068897896,4.064133990840088,1.3902007104836676
first_policy_sold_month_year,0.013565428296065786,0.020429747,3.950846428926489,1.3282805348005684
year_month_month_sin,0.01849844642333043,0.009389485,3.944622852225403,1.3241702612937551
year_month_year,0.005668084246036413,0.009321884,2.6114766720285547,0.875488880175574
hist_nill_rate_calc,0.0552828628084509,0.027942339,2.3250176513563106,0.8027476177077147
unique_quotations_last_21_days,0.029724228873698372,0.037154946,2.3383101278440117,0.8017297677313104
agent_join_month_month_cos,0.009754086228366703,0.0024990693,1.8110518013612602,0.6077683189698883
first_policy_sold_month_month_cos,0.01152649702954393,0.0134531725,1.342522055679862,0.4558339084097363
agent_join_month_year,0.008321932136349458,0.0125852125,1.3460999938198537,0.4556690461442516
first_policy_sold_month_quarter,0.0062184570210277335,0.0,1.1846056507795208,0.39694136926684953
unique_proposals_trend_7_days_15_days,0.0676106766464748,0.080346406,1.0318234769682384,0.39326018637361576
first_policy_sold_month_dayofweek,0.007413662696010825,0.005127898,1.0744283831239494,0.3623233145905707
agent_join_month_month_sin,0.013883302031238092,0.011997573,0.7845561195333217,0.27014566488074615
agent_join_month_quarter,0.0050706998509600695,0.007138574,0.7240970883275731,0.24543545406959452
number_of_policy_holders,0.05471371274347486,0.041057326,0.4697915597398339,0.1885208661276366
unique_customers_last_21_days,0.013147423157807769,0.007472458,0.4234060250724002,0.14800863535335693
year_month_dayofyear,0.008354620126994321,0.00261414,0.3249902708977605,0.11198634368988421
unique_quotations_trend_7_days_15_days,0.011444666551510982,0.001402659,0.29478007508413195,0.10254246687602997
log_unique_quotations,0.006994881891325121,0.0066282055,0.2691792740542517,0.09426745382654918
sqrt_unique_quotations,0.006623643828135764,0.0,0.2683829761737321,0.09166887333395594
number_of_cash_payment_policies,0.031605219790399736,0.023223942,0.16638861685599,0.07373925959736498
year_month_quarter,0.007044314511848784,0.011363612,0.1972108725070444,0.07187293285849426
year_month_weekofyear,0.007067802878632493,0.007417245,0.15956390424034536,0.0580163173185553
unique_quotations_trend_15_days_21_days,0.005450006497618774,0.0022580996,0.11278165837503928,0.04016325482941065
months_since_first_sale,0.0050902562805957416,0.0012702583,0.09763131630886943,0.03466394364099972
unique_customers_last_15_days,0.007784460984240451,0.0063704844,0.08947792380605643,0.03454428971786152
unique_proposals_trend_15_days_21_days,0.00971961423920924,0.002762641,0.058345471416529925,0.023609242238324637
sqrt_unique_customers,0.006323053387056542,0.017568443,0.040116518783629235,0.021336005047066692
first_policy_sold_month_weekofyear,0.00788560343276883,0.0028885677,0.05255986359192215,0.02111134492345885
unique_quotations,0.007566771521086384,0.0027752935,0.05061688584623537,0.02031965030313131
months_with_company,0.004893573782464944,0.0017119889,0.05377335354132845,0.020126305420611477
unique_proposal_mean_profile,0.005820892906566832,0.0013009453,0.052311008965526436,0.019810949056015176
hist_avg_policies_calc,0.006208737353167617,0.0030716928,0.04898241488660933,0.019420948337328863
net_income,0.004890555749662853,0.0050013247,0.04800959401530767,0.019300491486524737
unique_proposals_last_21_days,0.01001693331084158,0.0037247124,0.04224113679371014,0.018660927505785362
months_to_first_sale,0.006426764994105501,0.0052304943,0.04321372423952056,0.018290327847614266
unique_customers_trend_7_days_15_days,0.009834029732080352,0.0026252028,0.041035536589996,0.017831589694058906
log_unique_customers,0.006091386850995888,0.005977892,0.036027082145585435,0.01603212028259929
year_month_month,0.009518118234684805,0.031597566,0.005270017986973661,0.01546190069373822
log_unique_proposal,0.005565987308596813,0.004686344,0.035156700532200304,0.015136343930028417
sqrt_ANBP_value,0.005238207226774535,0.004428179,0.03318374237673429,0.014283376202269035
agent_age,0.004311077140247551,0.002204694,0.03410993220275884,0.013541901143230723
unique_quotations_mean_profile,0.004920883215997437,0.0018396806,0.031219067502288218,0.01265987710515725
agent_join_month_dayofyear,0.007449532603619318,0.0040288586,0.026002197105058047,0.012493529441875165
agent_join_month_weekofyear,0.007395077198400987,0.0024823898,0.02734061490327756,0.012406027300022144
unique_proposal,0.005850661601229925,0.002157602,0.029209027797885777,0.012405763797548897
log_ANBP_value,0.005128021378601981,0.0038123543,0.018864240852488532,0.009268205507316142
unique_customers,0.005973279491548005,0.0053989077,0.014349700851512362,0.008573962680583753
agent_join_month_month,0.008780445430178667,0.0,0.016707155393747907,0.008495866941308857
ANBP_value,0.006484071069839828,0.0052191066,0.013117904794687631,0.008273694142321028
log_net_income,0.004027026695927706,0.0013099656,0.018224592278167605,0.00785386153161467
first_policy_sold_month_month,0.008014368737229962,0.0,0.015218584569599056,0.007744317768943006
first_policy_sold_month_dayofyear,0.006101651401403416,0.002437347,0.01254460259605156,0.007027867026004505
log_agent_age,0.0037116418026574673,0.006037396,0.01128314696912947,0.0070107282283136075
sqrt_net_income,0.004618017342621897,0.0,0.016130785397620685,0.006916267580080861
sqrt_agent_age,0.003813019960244605,0.0024637398,0.012816802510368012,0.006364520767204395
agent_age_mean_profile,0.004661346654429546,0.0,0.007047780296468886,0.0039030423169661445
sqrt_unique_proposal,0.006143989314569127,0.0017631885,0.0035578494377443252,0.003821675755103097
unique_customers_trend_15_days_21_days,0.005152257023506425,0.0017927374,0.0031811689439236435,0.0033753877888859952
